customerID,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,service_adoption_score,tenure_bins,gender_Female,gender_Male,MultipleLines_No,MultipleLines_No phone service,MultipleLines_Yes,InternetService_DSL,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
7590-VHVEG,0,1,0,-1.2802480369298874,0,1,-1.1616939352451685,-0.9943630200425365,0,1,1,True,False,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False
5575-GNVDE,0,0,0,0.06430268518835193,1,0,-0.2608779199297493,-0.17375329533251452,0,3,3,False,True,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True
3668-QPYBK,0,0,0,-1.2395040756535771,1,1,-0.3639232943754246,-0.9595091661435625,1,3,1,False,True,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True
7795-CFOCW,0,0,0,0.512486259227765,0,0,-0.747850415293989,-0.1953715085103592,0,3,3,False,True,False,True,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,True,False,True,False,False,False
9237-HQITU,0,0,0,-1.2395040756535771,1,1,0.19617817640187488,-0.9405380811099437,1,1,1,True,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False
9305-CDSKC,0,0,0,-0.9950403079957154,1,1,1.1584890119510036,-0.6453832930287584,1,5,1,True,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False
1452-KIOVK,0,0,1,-0.42462485012737144,1,1,0.8078023344020117,-0.14728201389025575,0,4,3,False,True,False,False,True,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False
6713-OKOMC,0,0,0,-0.9135523854430948,0,0,-1.1650179795821258,-0.8743598775042968,0,1,1,True,False,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True
7892-POOKP,0,1,0,-0.18016108246950976,1,1,1.3296772953043026,0.3367012484790422,1,6,3,True,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False
6388-TABGU,0,0,1,1.2051336009250397,1,0,-0.28747027462540753,0.5312651670796442,0,3,2,False,True,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False
