iter	Passed	Remaining
0	6	1240
1	11	1179
2	17	1150
3	23	1131
4	28	1117
5	34	1111
6	40	1106
7	45	1102
8	51	1091
9	57	1085
10	62	1079
11	68	1073
12	73	1061
13	79	1056
14	85	1050
15	90	1043
16	96	1035
17	101	1029
18	107	1022
19	112	1012
20	118	1010
21	124	1004
22	129	997
23	135	994
24	141	989
25	147	985
26	152	979
27	158	973
28	164	967
29	169	961
30	175	955
31	180	949
32	186	942
33	191	936
34	197	930
35	203	924
36	208	919
37	214	913
38	219	907
39	225	901
40	230	895
41	236	890
42	242	884
43	247	878
44	253	872
45	259	867
46	264	861
47	270	855
48	275	850
49	281	845
50	287	839
51	292	833
52	298	828
53	304	822
54	309	816
55	315	812
56	321	806
57	327	800
58	332	795
59	338	789
60	343	783
61	349	778
62	355	772
63	360	765
64	365	759
65	371	754
66	377	748
67	382	743
68	388	737
69	393	731
70	399	726
71	405	720
72	411	715
73	416	709
74	422	703
75	428	698
76	434	693
77	439	687
78	445	682
79	451	677
80	457	671
81	462	666
82	468	660
83	474	655
84	479	649
85	485	643
86	491	637
87	496	632
88	502	626
89	508	621
90	513	615
91	519	609
92	525	604
93	531	598
94	537	594
95	544	589
96	551	585
97	558	580
98	564	575
99	570	570
100	577	566
101	584	561
102	590	556
103	596	550
104	603	545
105	609	540
106	616	535
107	623	530
108	629	525
109	636	520
110	642	515
111	649	510
112	655	504
113	662	499
114	668	494
115	675	488
116	681	483
117	688	478
118	694	472
119	700	467
120	707	462
121	714	456
122	720	451
123	727	445
124	734	440
125	740	434
126	747	429
127	753	423
128	759	418
129	766	412
130	773	407
131	779	401
132	785	395
133	792	390
134	798	384
135	805	378
136	811	373
137	818	367
138	824	361
139	830	355
140	835	349
141	841	343
142	846	337
143	852	331
144	858	325
145	865	319
146	870	313
147	876	307
148	882	302
149	889	296
150	895	290
151	901	284
152	906	278
153	912	272
154	918	266
155	924	260
156	930	254
157	936	248
158	942	242
159	948	237
160	954	231
161	961	225
162	967	219
163	973	213
164	979	207
165	984	201
166	990	195
167	996	189
168	1001	183
169	1008	177
170	1014	172
171	1020	166
172	1026	160
173	1032	154
174	1038	148
175	1044	142
176	1050	136
177	1057	130
178	1063	124
179	1069	118
180	1075	112
181	1081	106
182	1087	101
183	1093	95
184	1099	89
185	1105	83
186	1111	77
187	1117	71
188	1123	65
189	1130	59
190	1136	53
191	1142	47
192	1148	41
193	1153	35
194	1159	29
195	1166	23
196	1172	17
197	1178	11
198	1185	5
199	1191	0
